"activityName" "subjectId" "tBodyAcc_mean_X" "tBodyAcc_mean_Y" "tBodyAcc_mean_Z" "tGravityAcc_mean_X" "tGravityAcc_mean_Y" "tGravityAcc_mean_Z" "tBodyAccJerk_mean_X" "tBodyAccJerk_mean_Y" "tBodyAccJerk_mean_Z" "tBodyGyro_mean_X" "tBodyGyro_mean_Y" "tBodyGyro_mean_Z" "tBodyGyroJerk_mean_X" "tBodyGyroJerk_mean_Y" "tBodyGyroJerk_mean_Z" "tBodyAccMag_mean" "tGravityAccMag_mean" "tBodyAccJerkMag_mean" "tBodyGyroMag_mean" "tBodyGyroJerkMag_mean" "fBodyAcc_mean_X" "fBodyAcc_mean_Y" "fBodyAcc_mean_Z" "fBodyAccJerk_mean_X" "fBodyAccJerk_mean_Y" "fBodyAccJerk_mean_Z" "fBodyGyro_mean_X" "fBodyGyro_mean_Y" "fBodyGyro_mean_Z" "fBodyAccMag_mean" "fBodyBodyAccJerkMag_mean" "fBodyBodyGyroMag_mean" "fBodyBodyGyroJerkMag_mean" "tBodyAcc_std_X" "tBodyAcc_std_Y" "tBodyAcc_std_Z" "tGravityAcc_std_X" "tGravityAcc_std_Y" "tGravityAcc_std_Z" "tBodyAccJerk_std_X" "tBodyAccJerk_std_Y" "tBodyAccJerk_std_Z" "tBodyGyro_std_X" "tBodyGyro_std_Y" "tBodyGyro_std_Z" "tBodyGyroJerk_std_X" "tBodyGyroJerk_std_Y" "tBodyGyroJerk_std_Z" "tBodyAccMag_std" "tGravityAccMag_std" "tBodyAccJerkMag_std" "tBodyGyroMag_std" "tBodyGyroJerkMag_std" "fBodyAcc_std_X" "fBodyAcc_std_Y" "fBodyAcc_std_Z" "fBodyAccJerk_std_X" "fBodyAccJerk_std_Y" "fBodyAccJerk_std_Z" "fBodyGyro_std_X" "fBodyGyro_std_Y" "fBodyGyro_std_Z" "fBodyAccMag_std" "fBodyBodyAccJerkMag_std" "fBodyBodyGyroMag_std" "fBodyBodyGyroJerkMag_std"
LAYING "11" 2.805930e-01 -1.765981e-02 -1.087866e-01 -1.348320e-01  9.430179e-01  1.126202e-01 7.666453e-02  1.221939e-02  2.776905e-03 -1.917438e-02 -4.155999e-02  1.520190e-01 -1.022975e-01 -4.123914e-02 -6.669575e-02 -9.806212e-01 -9.806212e-01 -9.833306e-01 -9.525238e-01 -9.906412e-01 -9.838014e-01 -9.714039e-01 -9.735768e-01 -9.848849e-01 -9.738825e-01 -9.795648e-01 -9.761875e-01 -9.826403e-01 -9.614344e-01 -9.739940e-01 -9.769408e-01 -9.670934e-01 -9.859788e-01 -9.847773e-01 -9.721969e-01 -9.713112e-01 -9.795656e-01 -9.907656e-01 -9.841926e-01 -9.852591e-01 -9.727775e-01 -9.821118e-01 -9.808369e-01 -9.824426e-01 -9.598974e-01 -9.817248e-01 -9.908457e-01 -9.865491e-01 -9.728918e-01 -9.728918e-01 -9.765049e-01 -9.547132e-01 -9.844765e-01 -9.853222e-01 -9.735893e-01 -9.716681e-01 -9.871227e-01 -9.734867e-01 -9.833029e-01 -9.824246e-01 -9.826606e-01 -9.631839e-01 -9.760377e-01 -9.751265e-01 -9.548491e-01 -9.835695e-01
LAYING "12" 2.601134e-01 -1.752039e-02 -1.081601e-01 -3.785921e-01  8.033788e-01  2.750432e-01 8.542954e-02  7.744083e-03 -4.371484e-03 -1.465468e-02 -8.355374e-02  1.451918e-01 -9.904023e-02 -4.106753e-02 -6.789090e-02 -9.482047e-01 -9.482047e-01 -9.698438e-01 -9.308406e-01 -9.710678e-01 -9.562485e-01 -9.512660e-01 -9.547248e-01 -9.687428e-01 -9.632233e-01 -9.671497e-01 -9.566539e-01 -9.525617e-01 -9.456732e-01 -9.438674e-01 -9.624484e-01 -9.454970e-01 -9.639496e-01 -9.553187e-01 -9.490720e-01 -9.483338e-01 -9.364583e-01 -9.743965e-01 -9.596440e-01 -9.692763e-01 -9.626395e-01 -9.706293e-01 -9.660907e-01 -9.538739e-01 -9.501574e-01 -9.671982e-01 -9.659004e-01 -9.699539e-01 -9.365427e-01 -9.365427e-01 -9.625809e-01 -9.357257e-01 -9.620120e-01 -9.552076e-01 -9.506400e-01 -9.483808e-01 -9.728200e-01 -9.647037e-01 -9.727138e-01 -9.692546e-01 -9.553437e-01 -9.564244e-01 -9.421333e-01 -9.616530e-01 -9.403738e-01 -9.619116e-01
LAYING "13" 2.767164e-01 -2.044045e-02 -1.043319e-01 -1.568522e-01  6.564009e-01  5.988850e-01 7.677748e-02  1.834419e-02 -9.883897e-03 -9.736100e-03 -9.662507e-02  1.178196e-01 -1.018356e-01 -4.177440e-02 -6.487704e-02 -9.605178e-01 -9.605178e-01 -9.854679e-01 -9.443031e-01 -9.854463e-01 -9.747169e-01 -9.658438e-01 -9.662956e-01 -9.851997e-01 -9.803751e-01 -9.809946e-01 -9.694635e-01 -9.686897e-01 -9.691269e-01 -9.595355e-01 -9.807544e-01 -9.576816e-01 -9.781508e-01 -9.688920e-01 -9.509479e-01 -9.503930e-01 -9.578752e-01 -9.759481e-01 -9.598929e-01 -9.854200e-01 -9.801523e-01 -9.830707e-01 -9.721435e-01 -9.627046e-01 -9.673505e-01 -9.814047e-01 -9.788547e-01 -9.898015e-01 -9.479447e-01 -9.479447e-01 -9.800662e-01 -9.446875e-01 -9.751133e-01 -9.669601e-01 -9.474623e-01 -9.458521e-01 -9.870782e-01 -9.813943e-01 -9.836700e-01 -9.734468e-01 -9.599441e-01 -9.697972e-01 -9.494313e-01 -9.780443e-01 -9.461334e-01 -9.727986e-01
LAYING "14" 2.332754e-01 -1.134247e-02 -8.683333e-02 -1.454836e-01  4.853969e-01  8.365629e-01 9.814038e-02 -8.315071e-03 -3.236015e-02  5.052212e-03 -1.534238e-01  1.491241e-01 -1.054466e-01 -3.726774e-02 -5.661719e-02 -9.059783e-01 -9.059783e-01 -9.725764e-01 -9.046654e-01 -9.756212e-01 -9.339362e-01 -9.303669e-01 -9.278823e-01 -9.720107e-01 -9.693421e-01 -9.685932e-01 -9.499590e-01 -9.380879e-01 -9.491072e-01 -8.994637e-01 -9.679886e-01 -9.301517e-01 -9.664553e-01 -9.175019e-01 -9.096970e-01 -9.003319e-01 -8.621369e-01 -9.487749e-01 -9.013039e-01 -9.714736e-01 -9.681276e-01 -9.724319e-01 -9.572210e-01 -9.324998e-01 -9.522970e-01 -9.702750e-01 -9.680429e-01 -9.797114e-01 -8.565931e-01 -8.565931e-01 -9.664509e-01 -9.134332e-01 -9.640099e-01 -9.119727e-01 -9.052210e-01 -8.940557e-01 -9.734914e-01 -9.691133e-01 -9.749144e-01 -9.597405e-01 -9.299554e-01 -9.577905e-01 -8.596060e-01 -9.636074e-01 -9.177601e-01 -9.636660e-01
LAYING "15" 2.894757e-01 -1.662965e-02 -1.185302e-01 -1.719931e-01  8.992426e-01 -3.691929e-02 7.675154e-02  1.239843e-02 -4.439280e-03 -1.683009e-02 -6.197009e-02  1.134519e-01 -1.022667e-01 -4.158790e-02 -6.243346e-02 -9.553407e-01 -9.553407e-01 -9.798902e-01 -9.446051e-01 -9.832350e-01 -9.740162e-01 -9.624611e-01 -9.515659e-01 -9.813300e-01 -9.708332e-01 -9.747757e-01 -9.554136e-01 -9.643109e-01 -9.581901e-01 -9.560010e-01 -9.736812e-01 -9.468126e-01 -9.757279e-01 -9.722556e-01 -9.627594e-01 -9.295868e-01 -9.615097e-01 -9.860362e-01 -9.507104e-01 -9.817394e-01 -9.709216e-01 -9.784030e-01 -9.571677e-01 -9.611429e-01 -9.565371e-01 -9.739240e-01 -9.804828e-01 -9.801127e-01 -9.433141e-01 -9.433141e-01 -9.736445e-01 -9.240430e-01 -9.736500e-01 -9.717188e-01 -9.645904e-01 -9.239240e-01 -9.839493e-01 -9.732153e-01 -9.807451e-01 -9.582245e-01 -9.599919e-01 -9.600158e-01 -9.455086e-01 -9.725301e-01 -9.236822e-01 -9.726457e-01
LAYING "16" 2.742272e-01 -1.661035e-02 -1.073105e-01 -2.067837e-01 -1.992702e-02  8.938845e-01 7.839603e-02  1.328051e-02 -1.541051e-03 -1.615454e-02 -1.136751e-01  9.662103e-02 -1.022096e-01 -3.477353e-02 -5.767904e-02 -9.618346e-01 -9.618346e-01 -9.883497e-01 -9.517771e-01 -9.908395e-01 -9.802132e-01 -9.636356e-01 -9.745801e-01 -9.885800e-01 -9.847529e-01 -9.855449e-01 -9.758924e-01 -9.760929e-01 -9.859578e-01 -9.680205e-01 -9.875145e-01 -9.702496e-01 -9.886953e-01 -9.736914e-01 -9.430612e-01 -9.654903e-01 -9.637620e-01 -9.660871e-01 -9.678860e-01 -9.884167e-01 -9.848673e-01 -9.876441e-01 -9.770108e-01 -9.707475e-01 -9.847815e-01 -9.858355e-01 -9.890466e-01 -9.944652e-01 -9.578959e-01 -9.578959e-01 -9.878910e-01 -9.590200e-01 -9.882124e-01 -9.714091e-01 -9.370836e-01 -9.625244e-01 -9.892874e-01 -9.862150e-01 -9.883489e-01 -9.775096e-01 -9.681353e-01 -9.857310e-01 -9.581119e-01 -9.872472e-01 -9.589751e-01 -9.880584e-01
LAYING "17" 2.697801e-01 -1.684620e-02 -1.070063e-01 -1.991331e-01  6.587921e-01  7.226575e-01 7.790897e-02  7.068671e-03 -1.435425e-04 -2.347565e-02 -9.445802e-02  1.114405e-01 -1.020498e-01 -3.619611e-02 -6.049270e-02 -9.530214e-01 -9.530214e-01 -9.816076e-01 -9.607331e-01 -9.855424e-01 -9.743593e-01 -9.546481e-01 -9.654061e-01 -9.814721e-01 -9.772124e-01 -9.803801e-01 -9.719492e-01 -9.736691e-01 -9.761649e-01 -9.610463e-01 -9.796873e-01 -9.690144e-01 -9.827655e-01 -9.729606e-01 -9.447929e-01 -9.534767e-01 -9.610632e-01 -9.614667e-01 -9.571646e-01 -9.814890e-01 -9.769605e-01 -9.828130e-01 -9.758931e-01 -9.714843e-01 -9.762008e-01 -9.807924e-01 -9.831356e-01 -9.882217e-01 -9.482580e-01 -9.482580e-01 -9.801267e-01 -9.593255e-01 -9.820381e-01 -9.724385e-01 -9.427916e-01 -9.501170e-01 -9.832132e-01 -9.783439e-01 -9.838542e-01 -9.772035e-01 -9.706278e-01 -9.783571e-01 -9.490425e-01 -9.796572e-01 -9.600238e-01 -9.819834e-01
LAYING "18" 2.746916e-01 -1.739377e-02 -1.076989e-01 -2.206005e-01  7.197554e-01  6.054953e-01 7.499850e-02  1.170190e-02 -1.213448e-03 -2.517618e-02 -8.375873e-02  9.377819e-02 -9.971542e-02 -3.934402e-02 -5.931360e-02 -9.864562e-01 -9.864562e-01 -9.883215e-01 -9.807408e-01 -9.930951e-01 -9.851800e-01 -9.849099e-01 -9.886069e-01 -9.864047e-01 -9.858653e-01 -9.891169e-01 -9.924369e-01 -9.856112e-01 -9.849993e-01 -9.867884e-01 -9.885484e-01 -9.843291e-01 -9.919010e-01 -9.845276e-01 -9.861609e-01 -9.876587e-01 -9.827160e-01 -9.940935e-01 -9.909572e-01 -9.859211e-01 -9.855543e-01 -9.906602e-01 -9.928726e-01 -9.842029e-01 -9.851084e-01 -9.961044e-01 -9.905476e-01 -9.925481e-01 -9.864645e-01 -9.864645e-01 -9.895263e-01 -9.805609e-01 -9.921531e-01 -9.843219e-01 -9.867465e-01 -9.872248e-01 -9.866412e-01 -9.862107e-01 -9.907448e-01 -9.930194e-01 -9.834578e-01 -9.864830e-01 -9.876485e-01 -9.897107e-01 -9.814688e-01 -9.927380e-01
LAYING "19" 2.726537e-01 -1.714269e-02 -1.089815e-01 -6.800432e-01  7.256466e-01  6.876239e-01 7.723180e-02  1.114957e-02 -9.886909e-04 -3.120727e-02 -9.526280e-02  1.086051e-01 -9.560183e-02 -3.714766e-02 -5.991615e-02 -9.662608e-01 -9.662608e-01 -9.847843e-01 -9.532634e-01 -9.853425e-01 -9.745337e-01 -9.727988e-01 -9.853404e-01 -9.834786e-01 -9.748783e-01 -9.865065e-01 -9.741962e-01 -9.720610e-01 -9.739323e-01 -9.719574e-01 -9.806216e-01 -9.656247e-01 -9.818905e-01 -9.650196e-01 -9.734500e-01 -9.846728e-01 -9.589596e-01 -9.869931e-01 -9.888190e-01 -9.836052e-01 -9.745245e-01 -9.882602e-01 -9.813576e-01 -9.636177e-01 -9.731975e-01 -9.761057e-01 -9.846077e-01 -9.869584e-01 -9.631935e-01 -9.631935e-01 -9.806683e-01 -9.559066e-01 -9.802455e-01 -9.620850e-01 -9.748321e-01 -9.847410e-01 -9.852780e-01 -9.759641e-01 -9.885587e-01 -9.839448e-01 -9.598314e-01 -9.754175e-01 -9.640568e-01 -9.794522e-01 -9.574960e-01 -9.793278e-01
LAYING "20" 2.395079e-01 -1.444063e-02 -1.042743e-01 -4.724314e-01  8.648830e-01  4.775733e-01 8.927160e-02  1.108225e-03 -3.098918e-03 -2.317606e-02 -9.548996e-02  1.236802e-01 -9.950331e-02 -3.877630e-02 -6.100283e-02 -9.607431e-01 -9.607431e-01 -9.846701e-01 -9.604474e-01 -9.867495e-01 -9.657288e-01 -9.655960e-01 -9.763927e-01 -9.838900e-01 -9.772207e-01 -9.828762e-01 -9.826194e-01 -9.731200e-01 -9.722786e-01 -9.528271e-01 -9.796955e-01 -9.698322e-01 -9.811198e-01 -9.622491e-01 -9.640982e-01 -9.725720e-01 -9.286742e-01 -9.760185e-01 -9.765186e-01 -9.842707e-01 -9.770026e-01 -9.849892e-01 -9.844774e-01 -9.729419e-01 -9.724099e-01 -9.892836e-01 -9.815401e-01 -9.866705e-01 -9.394894e-01 -9.394894e-01 -9.801617e-01 -9.621536e-01 -9.810793e-01 -9.609979e-01 -9.649610e-01 -9.719013e-01 -9.862139e-01 -9.784514e-01 -9.857078e-01 -9.851546e-01 -9.730925e-01 -9.749953e-01 -9.418941e-01 -9.795652e-01 -9.642059e-01 -9.819862e-01
